District,Polling Division,Rejected Votes Rate
Jaffna,Kankesanthurai,7.21
Jaffna,Vadducoddai,7.16
Jaffna,Kopai,7.02
Jaffna,Kilinochchi,6.78
Jaffna,Chavakachcheri,6.77
